,Movie_Title,Year_of_Release,Director,Genre,Runtime,IMDb_Rating,IMDb_Votes,Metascore,Gross,Plot_Outline
32,Laxmii,2020,"Directors:Lawrence Raghavendra,Balakrishnan Thevar","Action, Comedy, Horror            ",141 min,2.4,"55,195", , ,"Aasif visits his wife's parents' house and happens to go to a ground that is supposedly haunted. However, he is soon possessed by the spirit of a transgender who is out for revenge."
33,Baby,2015,Director:Neeraj Pandey,"Action, Thriller            ",159 min,8,"54,898", , ,"An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India."
34,Airlift,2016,Director:Raja Menon,"Drama, History            ",130 min,8,"54,662", , ,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen."
35,OMG: Oh My God!,2012,Director:Umesh Shukla,"Comedy, Drama, Fantasy            ",125 min,8.1,"54,578", ,$0.92M,A shopkeeper takes God to court when his shop is destroyed by an earthquake.
36,Sholay,1975,Director:Ramesh Sippy,"Action, Adventure, Comedy            ",162 min,8.2,"53,355", , ,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit."
37,Special 26,2013,Director:Neeraj Pandey,"Crime, Drama, Thriller            ",144 min,8,"53,328", ,$1.08M,A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.
38,The Lunchbox,2013,Director:Ritesh Batra,"Drama, Romance            ",104 min,7.8,"53,017",76,$4.23M,A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.
39,The White Tiger,2021,Director:Ramin Bahrani,"Crime, Drama            ",125 min,7.1,"52,992",76, ,An ambitious Indian driver uses his wit and cunning to escape from poverty and rise to the top. An epic journey based on the New York Times bestseller.
40,Jab Tak Hai Jaan,2012,Director:Yash Chopra,"Drama, Romance            ",176 min,6.7,"52,810", ,$3.05M,A woman is made to realize that her prayers and sacrifice to save her boyfriend's life may have led him to a fate worse than death.
41,Haider,2014,Director:Vishal Bhardwaj,"Action, Crime, Drama            ",160 min,8.1,"52,065", ,$0.90M,"A young man returns to Kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate."
42,Andaz Apna Apna,1994,Director:Rajkumar Santoshi,"Action, Comedy, Romance            ",160 min,8.1,"51,512", , ,Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal.
43,Chennai Express,2013,Director:Rohit Shetty,"Action, Adventure, Comedy            ",141 min,6.1,"51,149",45,$5.31M,A man heading towards Rameshwaram via Chennai express to immerse his late grandfather's ashes unwillingly gets caught amidst goons after helping their boss's daughter and them board the train.
44,Don 2,2011,Director:Farhan Akhtar,"Action, Crime, Thriller            ",148 min,7.1,"51,018",49,$3.68M,"Don turns himself in and escapes with Vardhaan from prison, following which he recruits a team to steal currency printing plates from a bank in Berlin."
45,Veer-Zaara,2004,Director:Yash Chopra,"Drama, Family, Musical            ",192 min,7.8,"50,867",67,$2.92M,"Veer-Zaara is a saga of love, separation, courage and sacrifice. A love story that is an inspiration and will remain a legend forever."
46,Sanju,2018,Director:Rajkumar Hirani,"Biography, Comedy, Drama            ",155 min,7.7,"50,387", ,$7.91M,"Sanju is a biopic of the controversial life of actor Sanjay Dutt: his film career, jail sentence and personal life."
47,Kuch Kuch Hota Hai,1998,Director:Karan Johar,"Comedy, Drama, Musical            ",177 min,7.6,"50,109", ,$2.10M,"During their college years, Anjali was in love with her best-friend Rahul, but he had eyes only for Tina. Years later, Rahul and the now-deceased Tina's eight-year-old daughter attempts to reunite her father and Anjali."
48,Jab We Met,2007,Director:Imtiaz Ali,"Comedy, Drama, Romance            ",138 min,7.9,"49,874", ,$0.41M,A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.
49,Uri: The Surgical Strike,2018,Director:Aditya Dhar,"Action, Drama, War            ",138 min,8.2,"48,640", ,$4.19M,"Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group."
50,Aashiqui 2,2013,Director:Mohit Suri,"Drama, Music, Musical            ",132 min,7,"27,889", , ,Rahul loses his fans and fame due to alcoholism. But he then decides to turn a small time singer into a rising star.
51,Dil Se..,1998,Director:Mani Ratnam,"Drama, Romance            ",163 min,7.6,"27,728", , ,A radio broadcaster's intense attraction to a mysterious woman opens the door to a tidal wave of powerful emotions and desires.
52,Kick,2014,Director:Sajid Nadiadwala,"Action, Comedy, Crime            ",146 min,5.3,"27,727", ,$2.46M,"An adrenaline junkie walks away from a whirlwind romance and embraces a new life as a thief, though he soon finds himself pursued by veteran police officer and engaged in a turf war with a local gangster."
53,Highway,2014,Director:Imtiaz Ali,"Crime, Drama, Romance            ",133 min,7.6,"27,602",40,$0.53M,"Right before her wedding, a young woman finds herself abducted and held for ransom. As the initial days pass, she begins to develop a strange bond with her kidnapper."
54,Raazi,2018,Director:Meghna Gulzar,"Action, Drama, Thriller            ",138 min,7.8,"27,521", , ,A Kashmiri woman agrees to marry a Pakistani army officer in order to spy on Pakistan during the Indo-Pakistan War of 1971.
55,Tanu Weds Manu Returns,2015,Director:Aanand L. Rai,"Comedy, Drama, Romance            ",128 min,7.6,"27,287", , ,Tanu and Manu's marriage collapses. What happens when Manu meets Tanu's lookalike Kusum - and when Tanu returns?
56,Article 15,2019,Director:Anubhav Sinha,"Crime, Drama, Mystery            ",130 min,8.2,"27,040", , ,"In the rural heartlands of India, an upright police officer sets out on a crusade against violent caste-based crimes and discrimination."
57,Baazigar,1993,"Directors:Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla","Crime, Drama, Musical            ",175 min,7.7,"26,977", , ,"A young man with a vendetta against a business tycoon seduces the man's younger daughter, but she begins to suspect her new lover's connection with her elder sister and his ulterior motive."
58,Tiger Zinda Hai,2017,Director:Ali Abbas Zafar,"Action, Adventure, Thriller            ",161 min,5.9,"26,731", ,$5.56M,"When a group of Indian and Pakistani nurses are held hostage in Iraq by a terrorist organization, a secret agent is drawn out of hiding to rescue them."
59,Holiday: A Soldier is Never Off Duty,2014,Director:A.R. Murugadoss,"Action, Thriller            ",160 min,7.2,"26,663", ,$0.71M,"A military officer attempts to hunt down a terrorist, destroy a terrorist gang and deactivate the sleeper cells under its command."
60,Jaane Tu,2008,Director:Abbas Tyrewala,"Comedy, Drama, Romance            ",155 min,7.5,"26,151", ,$0.60M,Two best friends being convinced that they are not in love search for each other's love.
61,Chhapaak,2020,Director:Meghna Gulzar,"Biography, Drama            ",120 min,5.1,"26,096", , ,"The trials and triumphs of Malti, an acid attack survivor. From the investigation of the attack to the court proceedings, the medical treatment to the emotional healing. Chhapaak is the story of the unquashable human spirit."
62,Super 30,2019,Director:Vikas Bahl,"Biography, Drama            ",154 min,8,"25,961", ,$2.27M,Based on the life of Patna-based mathematician Anand Kumar who runs the famed Super 30 program for IIT aspirants in Patna.
63,Zero,2018,Director:Aanand L. Rai,"Comedy, Drama, Romance            ",164 min,5.4,"25,934", , ,"The story revolves around Bauua Singh (Shah Rukh Khan), a vertically challenged man, who is full of charm and wit, with a pinch of arrogance. Born to a wealthy family and raised in an environment of affluence, he is challenged to broaden his horizon and find purpose in life."
64,Hindi Medium,2017,Director:Saket Chaudhary,"Comedy, Drama            ",132 min,7.9,"25,592", , ,A couple from Chandni Chowk aspire to give their daughter the best education and thus be a part of and accepted by the elite of Delhi.
65,Masaan,2015,Director:Neeraj Ghaywan,Drama            ,109 min,8.2,"25,580", , ,"Along India's Ganges River, four people face prejudice, a strict moral code and a punishing caste system as they confront personal tragedies."
66,Kaabil,2017,Director:Sanjay Gupta,"Action, Crime, Drama            ",139 min,7.1,"25,442", , ,A blind man seeks revenge against a corrupt politician and his brother after his wife is raped and killed.
67,Monsoon Wedding,2001,Director:Mira Nair,"Comedy, Drama, Romance            ",114 min,7.4,"25,273",77,$13.88M,"A stressed father, a bride-to-be with a secret, a smitten event planner, and relatives from around the world create much ado about the preparations for an arranged marriage in India."
68,Tamasha,2015,Director:Imtiaz Ali,"Comedy, Drama, Romance            ",139 min,7.3,"25,256", ,$1.98M,"The life of a man with borderline personality disorder is relived in three stages: as a nine-year-old child, a 19-year-old adolescent and a 30-year-old adult."
69,Thappad,2020,Director:Anubhav Sinha,Drama            ,142 min,6.8,"25,144", , ,Thappad is a story of Amrita whose seemingly perfect life is shattered when her husband slaps her once in a party. But is one slap enough to question what a relationship stands for?
70,Dhoom 2,2006,Director:Sanjay Gadhvi,"Action, Crime, Thriller            ",152 min,6.6,"25,084", ,$2.64M,"Mr A, a fearless thief, steals valuable artefacts and teams up with the girl he is attracted to but who cannot be trusted. Close on their heels are three police officers trying to apprehend them."
71,Badla,2019,Director:Sujoy Ghosh,"Crime, Drama, Mystery            ",118 min,7.8,"25,051", , ,A dynamic young entrepreneur finds herself locked in a hotel room with the corpse of her dead lover. She hires a prestigious lawyer to defend her and they work together to figure out what actually happened.
72,Mimi,2021,Director:Laxman Utekar,"Comedy, Drama            ",132 min,8.1,"24,976", , ,Mimi is introduced by Bhanu to an American couple as a surrogate in exchange for Rs 2 million. She decides to have the baby even when they change their mind and tells her parent that Bhanu is the father.
73,Sarfarosh,1999,Director:John Mathew Matthan,"Action, Drama            ",174 min,8.1,"24,813", , ,"After his brother is killed and father severely injured by terrorists, a young med student quits his studies to join the Indian Police Service to wipe out the terrorists."
74,Rustom,2016,Director:Dharmendra Suresh Desai,"Crime, Drama, Thriller            ",148 min,7.1,"24,795", ,$1.09M,"A naval officer returns home to find out about his wife's affair. Soon, he surrenders after murdering the lover but as the case unfolds, it starts to reveal his hidden intention."
75,Kapoor & Sons,2016,Director:Shakun Batra,"Comedy, Drama, Family            ",132 min,7.7,"24,556", ,$2.61M,"A story revolving around a dysfunctional family of 2 brothers who visit their family and discover that their parents marriage is on the verge of collapse,the family is undergoing a financial crunch and much more as the drama unfolds."
76,Bodyguard,2011,Director:Siddique,"Action, Comedy, Drama            ",130 min,4.7,"24,531",41, ,The daughter of a wealthy nobleman secretly falls in love with her bodyguard.
77,2 States,2014,Director:Abhishek Varman,"Comedy, Drama, Romance            ",149 min,6.9,"24,439", ,$2.22M,This movie chronicles how Chetan met his wife and the difficulties they faced due to their cultural differences.
78,Tanhaji: The Unsung Warrior,2020,Director:Om Raut,"Action, Biography, Drama            ",135 min,7.6,"23,745", , ,"Tanhaji Malusare, a military chieftain in the army of the Maratha king Shivaji, leads the charge to capture the strategically important Kondhana fort guarded by the army of the fierce Rajput chieftain Udaybhan Rathod."
79,Madras Cafe,2013,Director:Shoojit Sircar,"Action, Drama, Thriller            ",130 min,7.7,"23,740", , ,An Indian intelligence agent journeys to a war-torn coastal island to break a resolute rebel group and meets a passionate journalist.
80,Gabbar is Back,2015,Director:Radha Krishna Jagarlamudi,"Action, Comedy, Crime            ",128 min,7.1,"23,630", , ,A grief-stricken man takes the law into his own hands when he begins to kidnap and murder corrupt public servants.
81,Jolly LLB 2,2017,Director:Subhash Kapoor,"Comedy, Drama            ",137 min,7.2,"23,602", ,$1.63M,Jolly is a clumsy lawyer who is faced with representing the most critical court case of his career.
82,Pad Man,2018,Director:R. Balki,"Comedy, Drama            ",140 min,7.9,"23,377", ,$1.66M,"Upon realizing the extent to which women are affected by their menses, a man sets out to create a sanitary pad machine and to provide inexpensive sanitary pads to the women of rural India."
83,Bhool Bhulaiyaa,2007,Director:Priyadarshan,"Comedy, Horror, Mystery            ",159 min,7.3,"23,374", ,$1.07M,"An NRI and his wife decide to stay in his ancestral home, paying no heed to the warnings about ghosts. Soon, inexplicable occurrences cause him to call a psychiatrist to help solve the mystery."
84,Agneepath,2012,Director:Karan Malhotra,"Action, Crime, Drama            ",174 min,6.9,"23,245", ,$1.98M,A young boy's father is lynched before his eyes; fifteen years later he returns home for revenge.
85,Khosla Ka Ghosla!,2006,Director:Dibakar Banerjee,"Comedy, Crime, Drama            ",135 min,8.3,"23,052", ,$0.03M,A Delhi based retired middle class man tries half-heartedly to get his land back from a swindling property dealer with the help of his sons and their friends.
86,Darr,1993,Director:Yash Chopra,"Action, Drama, Romance            ",178 min,7.8,"22,929", , ,A woman plans to marry a navy officer but she is also the object of another man's obsession.
87,Wanted,2009,Director:Prabhu Deva,"Action, Crime, Thriller            ",147 min,6.6,"22,898", , ,"Radhe is a ruthless gangster who will kill anyone for money. He is attracted towards Jhanvi, a middle class girl, who does not approve of his work and wants him to change."
88,Bang Bang,2014,Director:Siddharth Anand,"Action, Adventure, Comedy            ",153 min,5.6,"22,814", ,$2.55M,"A young bank receptionist gets mixed up with Rajveer Nanda, a man who has a mysterious background."
89,Guru,2007,Director:Mani Ratnam,Drama            ,166 min,7.7,"22,800",70,$2.09M,"A villager, Gurukant Desai, arrives in Bombay 1958, and rises from its streets to become the GURU, the biggest tycoon in Indian history."
90,Badlapur,2015,Director:Sriram Raghavan,"Action, Crime, Drama            ",134 min,7.4,"22,752", ,$0.37M,Raghu begins walking a fine line between good and evil as he exacts violent revenge on two criminals who killed his family 15 years ago.
91,Secret Superstar,2017,Director:Advait Chandan,"Drama, Music            ",150 min,7.8,"22,633", , ,A talented teenage singer-songwriter living amid domestic abuse becomes a YouTube sensation after a video in which she hides her identity goes viral.
92,Koi... Mil Gaya,2003,Director:Rakesh Roshan,"Action, Drama, Romance            ",171 min,7.1,"22,489", ,$0.68M,"A developmentally disabled young man tries to continue the work his father did in communicating with extra-terrestrials from outer space, which leads to something miraculous and wonderful."
93,Jo Jeeta Wohi Sikandar,1992,Director:Mansoor Khan,"Comedy, Drama, Romance            ",174 min,8.2,"22,447", , ,"A rich brat and a poor chap try to woo a girl, with their rivalry culminating in the most prestigious college event - the marathon cycle race."
94,2,2018,Director:S. Shankar,"Action, Sci-Fi            ",148 min,6.2,"22,445", ,$5.57M,"After mobiles start mysteriously flying out of the hands of people in Chennai, Dr Vaseegaran summons his trusted robot Chitti to ward off the bird-shaped supernatural powers of Pakshirajan."
95,Parmanu: The Story of Pokhran,2018,Director:Abhishek Sharma,"Action, Drama, History            ",129 min,7.6,"22,329", , ,"Ashwat Raina and his teammates arrive in Pokhran to re-conduct a confidential nuclear test, where they face challenges from the American Lacrosse satellite and local spies."
96,Ae Dil Hai Mushkil,2016,Director:Karan Johar,"Drama, Music, Musical            ",158 min,5.8,"22,091",40,$4.24M,"This story explores love - the shapes it takes, the ways it changes us and the exhilarating and often terrifying ride it takes us on. It is the journey of two characters, Alizeh and Ayan, as they navigate life, love and heartbreak."
97,Lakshya,2004,Director:Farhan Akhtar,"Action, Drama, Romance            ",186 min,7.9,"22,024", ,$0.75M,"An aimless, jobless, irresponsible grown man joins the army and matures into a battlefield hero."
98,Simmba,2018,Director:Rohit Shetty,"Action, Comedy, Crime            ",158 min,5.6,"22,021", ,$5.08M,"Simmba, a Corrupt Officer, enjoys all the perks of being an immoral and unethical police officer until a life-changing event forces him to choose the righteous path."
99,Detective Byomkesh Bakshy!,2015,Director:Dibakar Banerjee,"Action, Crime, Drama            ",139 min,7.7,"21,920", ,$0.58M,"While investigating the disappearance of a chemist, a detective uncovers a larger conspiracy to unsettle Calcutta."
100,Once Upon a Time in Mumbaai,2010,Director:Milan Luthria,"Action, Crime, Drama            ",134 min,7.4,"16,954", , ,"As a smuggler rises to power in in 1970s Mumbai, a younger gangster seeks to overthrow him and a police officer is caught in the middle."
101,Kaminey,2009,Director:Vishal Bhardwaj,"Action, Crime, Drama            ",130 min,7.4,"16,852", ,$1.29M,"The desperate lives of two estranged twin brothers converge over missing drugs, politics, racial prejudice, corrupt cops and an unplanned pregnancy."
102,Raat Akeli Hai,2020,Director:Honey Trehan,"Crime, Drama, Mystery            ",149 min,7.3,"16,657", , ,The film follows a small town cop who is summoned to investigate the death of a politician which gets complicated by the victim's secretive family and his own conflicted heart.
103,Student of the Year,2012,Director:Karan Johar,"Comedy, Drama, Music            ",146 min,5.3,"16,584", ,$0.33M,Several alumni reminisce about their final year at St. Theresa's College and the events that shaped their lives.
104,Gangaajal,2003,Director:Prakash Jha,"Action, Crime, Drama            ",157 min,7.8,"16,437", , ,"An IPS officer motivates and leads a dysfunctional, corrupt police force of Tezpur to fight against the corrupt politician."
105,Kesari,2019,Director:Anurag Singh,"Action, Drama, History            ",150 min,7.4,"16,409", , ,"Based on an incredible true story of the Battle of Saragarhi in which an army of 21 Sikhs fought against 10,000 Afghans in 1897."
106,Iqbal,2005,Director:Nagesh Kukunoor,"Drama, Sport            ",132 min,8.1,"16,397", , ,"Iqbal, the deaf and mute son of a farmer, has a passion for the game of cricket and seeks the tutelage of a washed-up, alcoholic ex-player."
107,Sarkar,2005,Director:Ram Gopal Varma,"Action, Crime, Drama            ",124 min,7.6,"16,268", , ,"Subhash Nagre runs a parallel government in the city where he has a cult following. When his enemies plot to murder him, his son takes charge and stands up against them."
108,Raid,2018,Director:Raj Kumar Gupta,"Action, Crime, Drama            ",122 min,7.4,"16,262", ,$1.01M,A fearless income tax officer raids the mansion of the most powerful man in Lucknow after someone mysteriously draws his attention towards the evidence.
109,Dil Dhadakne Do,2015,Director:Zoya Akhtar,"Comedy, Drama, Romance            ",170 min,6.9,"16,221", , ,The Mehra family must contemplate over their way of living and their love lives while on a cruise celebrating their 30th wedding anniversary.
110,Lootcase,2020,Director:Rajesh Krishnan,"Comedy, Crime            ",132 min,7.6,"16,114", , ,"Nandan Kumar comes across a suitcase and discovers it is full of cash. He takes the suitcase and soon finds himself being chased by a notorious gangster, an honest cop and a minister, who want the suitcase at any cost."
111,Shahid,2012,Director:Hansal Mehta,"Biography, Drama            ",129 min,8.2,"16,001", , ,"The account of Human Rights lawyer Shahid Azmi, an ordinary citizen with an extraordinary commitment to justice."
112,Golmaal: Fun Unlimited,2006,Director:Rohit Shetty,"Action, Comedy, Drama            ",150 min,7.4,"15,937", , ,Four runaway crooks take shelter in a bungalow which is owned by a blind couple.
113,Band Baaja Baaraat,2010,Director:Maneesh Sharma,"Comedy, Drama, Romance            ",139 min,7.2,"15,874", , ,"Shruti and Bittoo become partners in their very own ""Wedding planning ka bijness"" in Delhi and in the process discover friendship, love and one another."
114,Race 2,2013,"Directors:Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla","Action, Crime, Thriller            ",150 min,5.4,"15,835", ,$1.58M,Ranvir treads through the world of the Indian mafia in Turkey as he looks to avenge the death of his lover and partner in crime.
115,Kalank,2019,Director:Abhishek Varman,"Drama, Romance            ",166 min,3.6,"15,786", ,$2.73M,"The lives of six enigmatic characters become entangled whilst in search of love, but separated by the dichotomy between the two worlds of Husnabad, a town in North India."
116,Baghban,2003,Director:Ravi Chopra,"Drama, Romance            ",181 min,7.4,"15,733", ,$1.10M,"An elderly couple wish their children to care for them in their old age. But their children see and treat them as a burden, and they must struggle to regain their worth and dignity to themselves and others."
117,The Legend of Bhagat Singh,2002,Director:Rajkumar Santoshi,"Action, Biography, Drama            ",155 min,8.1,"15,537", , ,The story of a young revolutionary who raised an armed resistance against the British rule in India.
118,Mulk,2018,Director:Anubhav Sinha,Drama            ,140 min,6.9,"15,447", , ,One family member tries to help her own family which are trapped in a dark controversy.
119,Love Aaj Kal,2009,Director:Imtiaz Ali,"Comedy, Drama, Romance            ",128 min,6.8,"15,431", ,$2.43M,An old-fashioned romantic tells his personal love story to a modern man who has just broken up with his girlfriend. Has love really ever changed?
120,Khakee,2004,Director:Rajkumar Santoshi,"Action, Crime, Drama            ",174 min,7.4,"15,394", , ,A team of police force escorts an alleged terrorist from Chandangarh to Mumbai. However their trip turns into a deadly survival when an ex-cop tries to stop them to reach Mumbai.
121,Nayak: The Real Hero,2001,Director:S. Shankar,"Action, Drama, Thriller            ",187 min,7.8,"15,330", , ,"A man accepts a challenge by the chief minister of Maharashtra to run the state for one day, and makes such a success of it that soon he is embroiled in political intrigue."
122,Singham,2011,Director:Rohit Shetty,"Action, Crime, Drama            ",143 min,6.8,"15,169", ,$0.35M,A truly honest police officer is transferred to a town controlled by a gangster he has humiliated. The gangster believes he can use good power to bring down this officer who made him look foolish and weak.
123,Angrezi Medium,2020,Director:Homi Adajania,"Comedy, Drama            ",145 min,7.3,"15,131", , ,"When his daughter decides to further her studies in London, a hardworking Rajasthani businessman does everything in power to make her dreams come true."
124,Lootera,2013,Director:Vikramaditya Motwane,"Drama, Romance            ",136 min,7.3,"15,047", ,$0.38M,"An aristocrat's daughter falls in love with a visiting archaeologist, but he holds a secret that could drive them apart."
